Tarix (gün.ay.il);Stansiya;Gündəlik gediş sayı
2025-01-01 00:00:00,000;"20 Yanvar";29406
2025-01-02 00:00:00,000;"20 Yanvar";31045
2025-01-03 00:00:00,000;"20 Yanvar";33650
2025-01-04 00:00:00,000;"20 Yanvar";34509
2025-01-05 00:00:00,000;"20 Yanvar";28789
2025-01-06 00:00:00,000;"20 Yanvar";47288
2025-01-07 00:00:00,000;"20 Yanvar";47256
2025-01-08 00:00:00,000;"20 Yanvar";50211
2025-01-09 00:00:00,000;"20 Yanvar";51538
2025-01-10 00:00:00,000;"20 Yanvar";55388
2025-01-11 00:00:00,000;"20 Yanvar";42566
2025-01-12 00:00:00,000;"20 Yanvar";33632
2025-01-13 00:00:00,000;"20 Yanvar";53998
2025-01-14 00:00:00,000;"20 Yanvar";52149
2025-01-15 00:00:00,000;"20 Yanvar";49361
2025-01-16 00:00:00,000;"20 Yanvar";51089
2025-01-17 00:00:00,000;"20 Yanvar";53917
2025-01-18 00:00:00,000;"20 Yanvar";42707
2025-01-19 00:00:00,000;"20 Yanvar";31356
2025-01-20 00:00:00,000;"20 Yanvar";36474
2025-01-21 00:00:00,000;"20 Yanvar";53241
2025-01-22 00:00:00,000;"20 Yanvar";51426
2025-01-23 00:00:00,000;"20 Yanvar";49722
2025-01-24 00:00:00,000;"20 Yanvar";48106
2025-01-25 00:00:00,000;"20 Yanvar";37429
2025-01-26 00:00:00,000;"20 Yanvar";32800
2025-01-27 00:00:00,000;"20 Yanvar";53173
2025-01-28 00:00:00,000;"20 Yanvar";52368
2025-01-29 00:00:00,000;"20 Yanvar";37920
2025-01-30 00:00:00,000;"20 Yanvar";52174
2025-01-31 00:00:00,000;"20 Yanvar";54291
2025-02-01 00:00:00,000;"20 Yanvar";42373
2025-02-02 00:00:00,000;"20 Yanvar";35145
2025-02-03 00:00:00,000;"20 Yanvar";52238
2025-02-04 00:00:00,000;"20 Yanvar";50759
2025-02-05 00:00:00,000;"20 Yanvar";47168
2025-02-06 00:00:00,000;"20 Yanvar";47493
2025-02-07 00:00:00,000;"20 Yanvar";45222
2025-02-08 00:00:00,000;"20 Yanvar";35236
2025-02-09 00:00:00,000;"20 Yanvar";29154
2025-02-10 00:00:00,000;"20 Yanvar";49550
2025-02-11 00:00:00,000;"20 Yanvar";49194
2025-02-12 00:00:00,000;"20 Yanvar";49549
2025-02-13 00:00:00,000;"20 Yanvar";48933
2025-02-14 00:00:00,000;"20 Yanvar";48327
2025-02-15 00:00:00,000;"20 Yanvar";43001
2025-02-16 00:00:00,000;"20 Yanvar";38632
2025-02-17 00:00:00,000;"20 Yanvar";60597
2025-02-18 00:00:00,000;"20 Yanvar";59107
2025-02-19 00:00:00,000;"20 Yanvar";58175
2025-02-20 00:00:00,000;"20 Yanvar";55107
2025-02-21 00:00:00,000;"20 Yanvar";46160
2025-02-22 00:00:00,000;"20 Yanvar";32947
2025-02-23 00:00:00,000;"20 Yanvar";30173
2025-02-24 00:00:00,000;"20 Yanvar";38111
2025-02-25 00:00:00,000;"20 Yanvar";51533
2025-02-26 00:00:00,000;"20 Yanvar";57973
2025-02-27 00:00:00,000;"20 Yanvar";52956
2025-02-28 00:00:00,000;"20 Yanvar";60216
2025-03-01 00:00:00,000;"20 Yanvar";32072
2025-03-02 00:00:00,000;"20 Yanvar";30747
2025-03-03 00:00:00,000;"20 Yanvar";60560
2025-03-04 00:00:00,000;"20 Yanvar";60534
2025-03-05 00:00:00,000;"20 Yanvar";61381
2025-03-06 00:00:00,000;"20 Yanvar";61741
2025-03-07 00:00:00,000;"20 Yanvar";64051
2025-03-08 00:00:00,000;"20 Yanvar";46138
2025-03-09 00:00:00,000;"20 Yanvar";37103
2025-03-10 00:00:00,000;"20 Yanvar";62063
2025-03-11 00:00:00,000;"20 Yanvar";61377
2025-03-12 00:00:00,000;"20 Yanvar";60114
2025-03-13 00:00:00,000;"20 Yanvar";60735
2025-03-14 00:00:00,000;"20 Yanvar";60785
2025-03-15 00:00:00,000;"20 Yanvar";44277
2025-03-16 00:00:00,000;"20 Yanvar";36361
2025-03-17 00:00:00,000;"20 Yanvar";61748
2025-03-18 00:00:00,000;"20 Yanvar";58370
2025-03-19 00:00:00,000;"20 Yanvar";52211
2025-03-20 00:00:00,000;"20 Yanvar";23097
2025-03-21 00:00:00,000;"20 Yanvar";23913
2025-03-22 00:00:00,000;"20 Yanvar";28713
2025-03-23 00:00:00,000;"20 Yanvar";29587
2025-03-24 00:00:00,000;"20 Yanvar";31768
2025-03-25 00:00:00,000;"20 Yanvar";37288
2025-03-26 00:00:00,000;"20 Yanvar";38739
2025-03-27 00:00:00,000;"20 Yanvar";38019
2025-03-28 00:00:00,000;"20 Yanvar";38638
2025-03-29 00:00:00,000;"20 Yanvar";35998
2025-03-30 00:00:00,000;"20 Yanvar";31649
2025-03-31 00:00:00,000;"20 Yanvar";38068
2025-04-01 00:00:00,000;"20 Yanvar";60657
2025-04-02 00:00:00,000;"20 Yanvar";61450
2025-04-03 00:00:00,000;"20 Yanvar";61381
2025-04-04 00:00:00,000;"20 Yanvar";60933
2025-04-05 00:00:00,000;"20 Yanvar";45722
2025-04-06 00:00:00,000;"20 Yanvar";39427
2025-04-07 00:00:00,000;"20 Yanvar";62835
2025-04-08 00:00:00,000;"20 Yanvar";61673
2025-04-09 00:00:00,000;"20 Yanvar";60098
2025-04-10 00:00:00,000;"20 Yanvar";57476
2025-04-11 00:00:00,000;"20 Yanvar";57922
2025-04-12 00:00:00,000;"20 Yanvar";43457
2025-04-13 00:00:00,000;"20 Yanvar";36694
2025-04-14 00:00:00,000;"20 Yanvar";56976
2025-04-15 00:00:00,000;"20 Yanvar";55682
2025-04-16 00:00:00,000;"20 Yanvar";36572
2025-04-17 00:00:00,000;"20 Yanvar";53366
2025-04-18 00:00:00,000;"20 Yanvar";60192
2025-04-19 00:00:00,000;"20 Yanvar";45401
2025-04-20 00:00:00,000;"20 Yanvar";37185
2025-04-21 00:00:00,000;"20 Yanvar";61287
2025-04-22 00:00:00,000;"20 Yanvar";61012
2025-04-23 00:00:00,000;"20 Yanvar";60235
2025-04-24 00:00:00,000;"20 Yanvar";59604
2025-04-25 00:00:00,000;"20 Yanvar";60308
2025-04-26 00:00:00,000;"20 Yanvar";44129
2025-04-27 00:00:00,000;"20 Yanvar";36324
2025-04-28 00:00:00,000;"20 Yanvar";55382
2025-04-29 00:00:00,000;"20 Yanvar";54801
2025-04-30 00:00:00,000;"20 Yanvar";59570
2025-05-01 00:00:00,000;"20 Yanvar";59823
2025-05-02 00:00:00,000;"20 Yanvar";59409
2025-05-03 00:00:00,000;"20 Yanvar";44377
2025-05-04 00:00:00,000;"20 Yanvar";36862
2025-05-05 00:00:00,000;"20 Yanvar";60021
2025-05-06 00:00:00,000;"20 Yanvar";59408
2025-05-07 00:00:00,000;"20 Yanvar";60133
2025-05-08 00:00:00,000;"20 Yanvar";60724
2025-05-09 00:00:00,000;"20 Yanvar";42194
2025-05-10 00:00:00,000;"20 Yanvar";42568
2025-05-11 00:00:00,000;"20 Yanvar";36866
2025-05-12 00:00:00,000;"20 Yanvar";61527
2025-05-13 00:00:00,000;"20 Yanvar";60556
2025-05-14 00:00:00,000;"20 Yanvar";58060
2025-05-15 00:00:00,000;"20 Yanvar";58392
2025-05-16 00:00:00,000;"20 Yanvar";59553
2025-05-17 00:00:00,000;"20 Yanvar";44298
2025-05-18 00:00:00,000;"20 Yanvar";35559
2025-05-19 00:00:00,000;"20 Yanvar";59913
2025-05-20 00:00:00,000;"20 Yanvar";59914
2025-05-21 00:00:00,000;"20 Yanvar";58382
2025-05-22 00:00:00,000;"20 Yanvar";58978
2025-05-23 00:00:00,000;"20 Yanvar";59178
2025-05-24 00:00:00,000;"20 Yanvar";43127
2025-05-25 00:00:00,000;"20 Yanvar";36338
2025-05-26 00:00:00,000;"20 Yanvar";58767
2025-05-27 00:00:00,000;"20 Yanvar";57366
2025-05-28 00:00:00,000;"20 Yanvar";40176
2025-05-29 00:00:00,000;"20 Yanvar";54710
2025-05-30 00:00:00,000;"20 Yanvar";53556
2025-05-31 00:00:00,000;"20 Yanvar";42440
2025-06-01 00:00:00,000;"20 Yanvar";37642
2025-06-02 00:00:00,000;"20 Yanvar";54060
2025-06-03 00:00:00,000;"20 Yanvar";52353
2025-06-04 00:00:00,000;"20 Yanvar";52990
2025-06-05 00:00:00,000;"20 Yanvar";57539
2025-06-06 00:00:00,000;"20 Yanvar";32151
2025-06-07 00:00:00,000;"20 Yanvar";32610
2025-06-08 00:00:00,000;"20 Yanvar";33720
2025-06-09 00:00:00,000;"20 Yanvar";40843
2025-06-10 00:00:00,000;"20 Yanvar";57121
2025-06-11 00:00:00,000;"20 Yanvar";54293
2025-06-12 00:00:00,000;"20 Yanvar";53283
2025-06-13 00:00:00,000;"20 Yanvar";55705
2025-06-14 00:00:00,000;"20 Yanvar";41814
2025-06-15 00:00:00,000;"20 Yanvar";32258
2025-06-16 00:00:00,000;"20 Yanvar";38176
2025-06-17 00:00:00,000;"20 Yanvar";56156
2025-06-18 00:00:00,000;"20 Yanvar";53969
2025-06-19 00:00:00,000;"20 Yanvar";52680
2025-06-20 00:00:00,000;"20 Yanvar";54232
2025-06-21 00:00:00,000;"20 Yanvar";49478
2025-06-22 00:00:00,000;"20 Yanvar";33423
2025-06-23 00:00:00,000;"20 Yanvar";54282
2025-06-24 00:00:00,000;"20 Yanvar";54772
2025-06-25 00:00:00,000;"20 Yanvar";55787
2025-06-26 00:00:00,000;"20 Yanvar";38648
2025-06-27 00:00:00,000;"20 Yanvar";39329
2025-06-28 00:00:00,000;"20 Yanvar";36659
2025-06-29 00:00:00,000;"20 Yanvar";32202
2025-06-30 00:00:00,000;"20 Yanvar";54903
2025-07-01 00:00:00,000;"20 Yanvar";50557
2025-07-02 00:00:00,000;"20 Yanvar";49281
2025-07-03 00:00:00,000;"20 Yanvar";49100
2025-07-04 00:00:00,000;"20 Yanvar";48558
2025-07-05 00:00:00,000;"20 Yanvar";36883
2025-07-06 00:00:00,000;"20 Yanvar";32145
2025-07-07 00:00:00,000;"20 Yanvar";49124
2025-07-08 00:00:00,000;"20 Yanvar";48297
2025-07-09 00:00:00,000;"20 Yanvar";47823
2025-07-10 00:00:00,000;"20 Yanvar";46798
2025-07-11 00:00:00,000;"20 Yanvar";46470
2025-07-12 00:00:00,000;"20 Yanvar";37310
2025-07-13 00:00:00,000;"20 Yanvar";30722
2025-07-14 00:00:00,000;"20 Yanvar";44521
2025-07-15 00:00:00,000;"20 Yanvar";43926
2025-07-16 00:00:00,000;"20 Yanvar";43432
2025-07-17 00:00:00,000;"20 Yanvar";42824
2025-07-18 00:00:00,000;"20 Yanvar";43953
2025-07-19 00:00:00,000;"20 Yanvar";35796
2025-07-20 00:00:00,000;"20 Yanvar";29043
2025-07-21 00:00:00,000;"20 Yanvar";43529
2025-07-22 00:00:00,000;"20 Yanvar";42322
2025-07-23 00:00:00,000;"20 Yanvar";42412
2025-07-24 00:00:00,000;"20 Yanvar";42303
2025-07-25 00:00:00,000;"20 Yanvar";43183
2025-07-26 00:00:00,000;"20 Yanvar";35314
2025-07-27 00:00:00,000;"20 Yanvar";29949
2025-07-28 00:00:00,000;"20 Yanvar";43418
2025-07-29 00:00:00,000;"20 Yanvar";43073
2025-07-30 00:00:00,000;"20 Yanvar";43215
2025-07-31 00:00:00,000;"20 Yanvar";42594
2025-08-01 00:00:00,000;"20 Yanvar";42463
2025-08-02 00:00:00,000;"20 Yanvar";35245
2025-08-03 00:00:00,000;"20 Yanvar";28701
2025-08-04 00:00:00,000;"20 Yanvar";42406
2025-08-05 00:00:00,000;"20 Yanvar";41128
2025-08-06 00:00:00,000;"20 Yanvar";40969
2025-08-07 00:00:00,000;"20 Yanvar";40496
2025-08-08 00:00:00,000;"20 Yanvar";41602
2025-08-09 00:00:00,000;"20 Yanvar";35106
2025-08-10 00:00:00,000;"20 Yanvar";29696
2025-08-11 00:00:00,000;"20 Yanvar";43475
2025-08-12 00:00:00,000;"20 Yanvar";43617
2025-08-13 00:00:00,000;"20 Yanvar";42581
2025-08-14 00:00:00,000;"20 Yanvar";42172
2025-08-15 00:00:00,000;"20 Yanvar";42883
2025-08-16 00:00:00,000;"20 Yanvar";35286
2025-08-17 00:00:00,000;"20 Yanvar";30062
2025-08-18 00:00:00,000;"20 Yanvar";43177
2025-08-19 00:00:00,000;"20 Yanvar";42190
2025-08-20 00:00:00,000;"20 Yanvar";42045
2025-08-21 00:00:00,000;"20 Yanvar";42228
2025-08-22 00:00:00,000;"20 Yanvar";42508
2025-08-23 00:00:00,000;"20 Yanvar";36076
2025-08-24 00:00:00,000;"20 Yanvar";30139
2025-08-25 00:00:00,000;"20 Yanvar";44958
2025-08-26 00:00:00,000;"20 Yanvar";44090
2025-08-27 00:00:00,000;"20 Yanvar";46207
2025-08-28 00:00:00,000;"20 Yanvar";44760
2025-08-29 00:00:00,000;"20 Yanvar";45462
2025-08-30 00:00:00,000;"20 Yanvar";37957
2025-08-31 00:00:00,000;"20 Yanvar";31026
2025-09-01 00:00:00,000;"20 Yanvar";47217
2025-09-02 00:00:00,000;"20 Yanvar";46495
2025-09-03 00:00:00,000;"20 Yanvar";47129
2025-09-04 00:00:00,000;"20 Yanvar";47093
2025-09-05 00:00:00,000;"20 Yanvar";48666
2025-09-06 00:00:00,000;"20 Yanvar";40934
2025-09-07 00:00:00,000;"20 Yanvar";33785
2025-09-08 00:00:00,000;"20 Yanvar";51069
2025-09-09 00:00:00,000;"20 Yanvar";50672
2025-09-10 00:00:00,000;"20 Yanvar";50968
2025-09-11 00:00:00,000;"20 Yanvar";50934
2025-09-12 00:00:00,000;"20 Yanvar";50690
2025-09-13 00:00:00,000;"20 Yanvar";47780
2025-09-14 00:00:00,000;"20 Yanvar";35004
2025-09-15 00:00:00,000;"20 Yanvar";67660
2025-09-16 00:00:00,000;"20 Yanvar";65616
2025-09-17 00:00:00,000;"20 Yanvar";63095
2025-09-18 00:00:00,000;"20 Yanvar";63854
2025-09-19 00:00:00,000;"20 Yanvar";63798
2025-09-20 00:00:00,000;"20 Yanvar";43967
2025-09-21 00:00:00,000;"20 Yanvar";36249
2025-09-22 00:00:00,000;"20 Yanvar";64530
2025-09-23 00:00:00,000;"20 Yanvar";62962
2025-09-24 00:00:00,000;"20 Yanvar";62383
2025-09-25 00:00:00,000;"20 Yanvar";61962
2025-09-26 00:00:00,000;"20 Yanvar";61367
2025-09-27 00:00:00,000;"20 Yanvar";40052
2025-09-28 00:00:00,000;"20 Yanvar";35331
2025-09-29 00:00:00,000;"20 Yanvar";62469
2025-09-30 00:00:00,000;"20 Yanvar";61363
2025-10-01 00:00:00,000;"20 Yanvar";61591
2025-10-02 00:00:00,000;"20 Yanvar";60446
2025-10-03 00:00:00,000;"20 Yanvar";61497
2025-10-04 00:00:00,000;"20 Yanvar";43924
2025-10-05 00:00:00,000;"20 Yanvar";35970
2025-10-06 00:00:00,000;"20 Yanvar";62454
2025-10-07 00:00:00,000;"20 Yanvar";62041
2025-10-08 00:00:00,000;"20 Yanvar";60790
2025-10-09 00:00:00,000;"20 Yanvar";60493
2025-10-10 00:00:00,000;"20 Yanvar";61633
2025-10-11 00:00:00,000;"20 Yanvar";44262
2025-10-12 00:00:00,000;"20 Yanvar";35467
2025-10-13 00:00:00,000;"20 Yanvar";62414
2025-10-14 00:00:00,000;"20 Yanvar";61540
2025-10-15 00:00:00,000;"20 Yanvar";61285
2025-10-16 00:00:00,000;"20 Yanvar";60379
2025-10-17 00:00:00,000;"20 Yanvar";59950
2025-10-18 00:00:00,000;"20 Yanvar";43539
2025-10-19 00:00:00,000;"20 Yanvar";35860
2025-10-20 00:00:00,000;"20 Yanvar";62474
2025-10-21 00:00:00,000;"20 Yanvar";61452
2025-10-22 00:00:00,000;"20 Yanvar";61172
2025-10-23 00:00:00,000;"20 Yanvar";60044
2025-10-24 00:00:00,000;"20 Yanvar";61161
2025-10-25 00:00:00,000;"20 Yanvar";43402
2025-10-26 00:00:00,000;"20 Yanvar";35732
2025-10-27 00:00:00,000;"20 Yanvar";62465
2025-10-28 00:00:00,000;"20 Yanvar";61420
2025-10-29 00:00:00,000;"20 Yanvar";61156
2025-10-30 00:00:00,000;"20 Yanvar";59235
2025-10-31 00:00:00,000;"20 Yanvar";61921
2025-11-01 00:00:00,000;"20 Yanvar";44902
2025-11-02 00:00:00,000;"20 Yanvar";35254
2025-11-03 00:00:00,000;"20 Yanvar";63058
2025-11-04 00:00:00,000;"20 Yanvar";62013
2025-11-05 00:00:00,000;"20 Yanvar";64902
2025-11-06 00:00:00,000;"20 Yanvar";65511
2025-11-07 00:00:00,000;"20 Yanvar";65841
2025-11-08 00:00:00,000;"20 Yanvar";45307
2025-11-09 00:00:00,000;"20 Yanvar";34763
2025-11-10 00:00:00,000;"20 Yanvar";38762
2025-11-11 00:00:00,000;"20 Yanvar";41280
2025-11-12 00:00:00,000;"20 Yanvar";62645
2025-11-13 00:00:00,000;"20 Yanvar";62298
2025-11-14 00:00:00,000;"20 Yanvar";62574
2025-11-15 00:00:00,000;"20 Yanvar";43947
2025-11-16 00:00:00,000;"20 Yanvar";37749
2025-11-17 00:00:00,000;"20 Yanvar";64172
2025-11-18 00:00:00,000;"20 Yanvar";63876
2025-11-19 00:00:00,000;"20 Yanvar";63488
2025-11-20 00:00:00,000;"20 Yanvar";63406
2025-11-21 00:00:00,000;"20 Yanvar";63459
2025-11-22 00:00:00,000;"20 Yanvar";44621
2025-11-23 00:00:00,000;"20 Yanvar";35763
2025-11-24 00:00:00,000;"20 Yanvar";63508
2025-11-25 00:00:00,000;"20 Yanvar";63028
2025-11-26 00:00:00,000;"20 Yanvar";62363
2025-11-27 00:00:00,000;"20 Yanvar";61718
2025-11-28 00:00:00,000;"20 Yanvar";64132
2025-11-29 00:00:00,000;"20 Yanvar";45555
2025-11-30 00:00:00,000;"20 Yanvar";37139
2025-12-01 00:00:00,000;"20 Yanvar";63838
2025-12-02 00:00:00,000;"20 Yanvar";62781
2025-12-03 00:00:00,000;"20 Yanvar";62022
2025-12-04 00:00:00,000;"20 Yanvar";62506
2025-12-05 00:00:00,000;"20 Yanvar";60603
2025-12-06 00:00:00,000;"20 Yanvar";47217
2025-12-07 00:00:00,000;"20 Yanvar";38108
2025-12-08 00:00:00,000;"20 Yanvar";63334
2025-12-09 00:00:00,000;"20 Yanvar";62743
2025-12-10 00:00:00,000;"20 Yanvar";59571
2025-12-11 00:00:00,000;"20 Yanvar";61455
2025-12-12 00:00:00,000;"20 Yanvar";62498
2025-12-13 00:00:00,000;"20 Yanvar";47307
2025-12-14 00:00:00,000;"20 Yanvar";34072
2025-12-15 00:00:00,000;"20 Yanvar";62443
2025-12-16 00:00:00,000;"20 Yanvar";62123
2025-12-17 00:00:00,000;"20 Yanvar";63163
2025-12-18 00:00:00,000;"20 Yanvar";62734
2025-12-19 00:00:00,000;"20 Yanvar";63609
2025-12-20 00:00:00,000;"20 Yanvar";48240
2025-12-21 00:00:00,000;"20 Yanvar";39640
2025-12-22 00:00:00,000;"20 Yanvar";62706
2025-12-23 00:00:00,000;"20 Yanvar";61916
2025-12-24 00:00:00,000;"20 Yanvar";61344
2025-12-25 00:00:00,000;"20 Yanvar";57337
2025-12-26 00:00:00,000;"20 Yanvar";58203
2025-12-27 00:00:00,000;"20 Yanvar";47346
2025-12-28 00:00:00,000;"20 Yanvar";35607
2025-12-29 00:00:00,000;"20 Yanvar";53571
2025-12-30 00:00:00,000;"20 Yanvar";49996
2025-12-31 00:00:00,000;"20 Yanvar";30211
2025-01-01 00:00:00,000;"28 May";32328
2025-01-02 00:00:00,000;"28 May";36370
2025-01-03 00:00:00,000;"28 May";38588
2025-01-04 00:00:00,000;"28 May";38736
2025-01-05 00:00:00,000;"28 May";30600
2025-01-06 00:00:00,000;"28 May";53665
2025-01-07 00:00:00,000;"28 May";51194
2025-01-08 00:00:00,000;"28 May";52058
2025-01-09 00:00:00,000;"28 May";53729
2025-01-10 00:00:00,000;"28 May";57916
2025-01-11 00:00:00,000;"28 May";43203
2025-01-12 00:00:00,000;"28 May";31987
2025-01-13 00:00:00,000;"28 May";56643
2025-01-14 00:00:00,000;"28 May";53494
2025-01-15 00:00:00,000;"28 May";51594
2025-01-16 00:00:00,000;"28 May";52705
2025-01-17 00:00:00,000;"28 May";57161
2025-01-18 00:00:00,000;"28 May";42252
2025-01-19 00:00:00,000;"28 May";25833
2025-01-20 00:00:00,000;"28 May";34849
2025-01-21 00:00:00,000;"28 May";56558
2025-01-22 00:00:00,000;"28 May";52883
2025-01-23 00:00:00,000;"28 May";52989
2025-01-24 00:00:00,000;"28 May";56171
2025-01-25 00:00:00,000;"28 May";42776
2025-01-26 00:00:00,000;"28 May";32418
2025-01-27 00:00:00,000;"28 May";56657
2025-01-28 00:00:00,000;"28 May";56609
2025-01-29 00:00:00,000;"28 May";40097
2025-01-30 00:00:00,000;"28 May";56043
2025-01-31 00:00:00,000;"28 May";58354
2025-02-01 00:00:00,000;"28 May";43944
2025-02-02 00:00:00,000;"28 May";34626
2025-02-03 00:00:00,000;"28 May";54295
2025-02-04 00:00:00,000;"28 May";53877
2025-02-05 00:00:00,000;"28 May";49688
2025-02-06 00:00:00,000;"28 May";48915
2025-02-07 00:00:00,000;"28 May";45449
2025-02-08 00:00:00,000;"28 May";33015
2025-02-09 00:00:00,000;"28 May";28617
2025-02-10 00:00:00,000;"28 May";51876
2025-02-11 00:00:00,000;"28 May";52708
2025-02-12 00:00:00,000;"28 May";53739
2025-02-13 00:00:00,000;"28 May";53977
2025-02-14 00:00:00,000;"28 May";54951
2025-02-15 00:00:00,000;"28 May";43720
2025-02-16 00:00:00,000;"28 May";38178
2025-02-17 00:00:00,000;"28 May";62772
2025-02-18 00:00:00,000;"28 May";61468
2025-02-19 00:00:00,000;"28 May";60837
2025-02-20 00:00:00,000;"28 May";56477
2025-02-21 00:00:00,000;"28 May";47067
2025-02-22 00:00:00,000;"28 May";33448
2025-02-23 00:00:00,000;"28 May";33696
2025-02-24 00:00:00,000;"28 May";38679
2025-02-25 00:00:00,000;"28 May";56264
2025-02-26 00:00:00,000;"28 May";61551
2025-02-27 00:00:00,000;"28 May";55647
2025-02-28 00:00:00,000;"28 May";62178
2025-03-01 00:00:00,000;"28 May";34114
2025-03-02 00:00:00,000;"28 May";33874
2025-03-03 00:00:00,000;"28 May";64577
2025-03-04 00:00:00,000;"28 May";64897
2025-03-05 00:00:00,000;"28 May";65803
2025-03-06 00:00:00,000;"28 May";67202
2025-03-07 00:00:00,000;"28 May";71869
2025-03-08 00:00:00,000;"28 May";51389
2025-03-09 00:00:00,000;"28 May";39167
2025-03-10 00:00:00,000;"28 May";65502
2025-03-11 00:00:00,000;"28 May";65086
2025-03-12 00:00:00,000;"28 May";63903
2025-03-13 00:00:00,000;"28 May";63417
2025-03-14 00:00:00,000;"28 May";64733
2025-03-15 00:00:00,000;"28 May";46447
2025-03-16 00:00:00,000;"28 May";37011
2025-03-17 00:00:00,000;"28 May";65211
2025-03-18 00:00:00,000;"28 May";63895
2025-03-19 00:00:00,000;"28 May";57520
2025-03-20 00:00:00,000;"28 May";23165
2025-03-21 00:00:00,000;"28 May";25318
2025-03-22 00:00:00,000;"28 May";28928
2025-03-23 00:00:00,000;"28 May";29026
2025-03-24 00:00:00,000;"28 May";31284
2025-03-25 00:00:00,000;"28 May";37944
2025-03-26 00:00:00,000;"28 May";39892
2025-03-27 00:00:00,000;"28 May";38689
2025-03-28 00:00:00,000;"28 May";40058
2025-03-29 00:00:00,000;"28 May";36863
2025-03-30 00:00:00,000;"28 May";32298
2025-03-31 00:00:00,000;"28 May";38745
2025-04-01 00:00:00,000;"28 May";62625
2025-04-02 00:00:00,000;"28 May";63665
2025-04-03 00:00:00,000;"28 May";63960
2025-04-04 00:00:00,000;"28 May";63179
2025-04-05 00:00:00,000;"28 May";46343
2025-04-06 00:00:00,000;"28 May";38038
2025-04-07 00:00:00,000;"28 May";64809
2025-04-08 00:00:00,000;"28 May";64419
2025-04-09 00:00:00,000;"28 May";62786
2025-04-10 00:00:00,000;"28 May";58516
2025-04-11 00:00:00,000;"28 May";60067
2025-04-12 00:00:00,000;"28 May";44526
2025-04-13 00:00:00,000;"28 May";36451
2025-04-14 00:00:00,000;"28 May";53217
2025-04-15 00:00:00,000;"28 May";60825
2025-04-16 00:00:00,000;"28 May";35336
2025-04-17 00:00:00,000;"28 May";56631
2025-04-18 00:00:00,000;"28 May";62955
2025-04-19 00:00:00,000;"28 May";45644
2025-04-20 00:00:00,000;"28 May";35644
2025-04-21 00:00:00,000;"28 May";63615
2025-04-22 00:00:00,000;"28 May";63149
2025-04-23 00:00:00,000;"28 May";62184
2025-04-24 00:00:00,000;"28 May";61527
2025-04-25 00:00:00,000;"28 May";61830
2025-04-26 00:00:00,000;"28 May";43577
2025-04-27 00:00:00,000;"28 May";32420
2025-04-28 00:00:00,000;"28 May";55026
2025-04-29 00:00:00,000;"28 May";57672
2025-04-30 00:00:00,000;"28 May";62755
2025-05-01 00:00:00,000;"28 May";62517
2025-05-02 00:00:00,000;"28 May";62152
2025-05-03 00:00:00,000;"28 May";44461
2025-05-04 00:00:00,000;"28 May";36971
2025-05-05 00:00:00,000;"28 May";61993
2025-05-06 00:00:00,000;"28 May";62589
2025-05-07 00:00:00,000;"28 May";63221
2025-05-08 00:00:00,000;"28 May";64687
2025-05-09 00:00:00,000;"28 May";43316
2025-05-10 00:00:00,000;"28 May";40967
2025-05-11 00:00:00,000;"28 May";34674
2025-05-12 00:00:00,000;"28 May";62507
2025-05-13 00:00:00,000;"28 May";62442
2025-05-14 00:00:00,000;"28 May";58967
2025-05-15 00:00:00,000;"28 May";60278
2025-05-16 00:00:00,000;"28 May";62460
2025-05-17 00:00:00,000;"28 May";44537
2025-05-18 00:00:00,000;"28 May";33479
2025-05-19 00:00:00,000;"28 May";61294
2025-05-20 00:00:00,000;"28 May";61929
2025-05-21 00:00:00,000;"28 May";59880
2025-05-22 00:00:00,000;"28 May";61135
2025-05-23 00:00:00,000;"28 May";62304
2025-05-24 00:00:00,000;"28 May";42106
2025-05-25 00:00:00,000;"28 May";33380
2025-05-26 00:00:00,000;"28 May";60905
2025-05-27 00:00:00,000;"28 May";60323
2025-05-28 00:00:00,000;"28 May";39882
2025-05-29 00:00:00,000;"28 May";56868
2025-05-30 00:00:00,000;"28 May";56050
2025-05-31 00:00:00,000;"28 May";40984
2025-06-01 00:00:00,000;"28 May";36416
2025-06-02 00:00:00,000;"28 May";55597
2025-06-03 00:00:00,000;"28 May";53723
2025-06-04 00:00:00,000;"28 May";54280
2025-06-05 00:00:00,000;"28 May";59821
2025-06-06 00:00:00,000;"28 May";33541
2025-06-07 00:00:00,000;"28 May";32630
2025-06-08 00:00:00,000;"28 May";31098
2025-06-09 00:00:00,000;"28 May";38603
2025-06-10 00:00:00,000;"28 May";58178
2025-06-11 00:00:00,000;"28 May";56851
2025-06-12 00:00:00,000;"28 May";56212
2025-06-13 00:00:00,000;"28 May";59262
2025-06-14 00:00:00,000;"28 May";39913
2025-06-15 00:00:00,000;"28 May";29841
2025-06-16 00:00:00,000;"28 May";37097
2025-06-17 00:00:00,000;"28 May";57406
2025-06-18 00:00:00,000;"28 May";54735
2025-06-19 00:00:00,000;"28 May";53984
2025-06-20 00:00:00,000;"28 May";54904
2025-06-21 00:00:00,000;"28 May";48350
2025-06-22 00:00:00,000;"28 May";30692
2025-06-23 00:00:00,000;"28 May";55317
2025-06-24 00:00:00,000;"28 May";55027
2025-06-25 00:00:00,000;"28 May";56112
2025-06-26 00:00:00,000;"28 May";37611
2025-06-27 00:00:00,000;"28 May";38752
