Stansiya;Station;coğrafi enliyi (latitude);coğrafi uzunluğu (longitude);yerləşdiyi ünvan;Çıxış nörmələri
"Qara Qarayev";"Gara Garayev";40417506;49935540;"Qara Qarayev prospekti";" Çıxış 1"
"Qara Qarayev";"Gara Garayev";40417063;49935335;"Qara Qarayev prospekti";" Çıxış 2"
"Qara Qarayev";"Gara Garayev";40417579;49932686;"Qara Qarayev prospekti";" Çıxış 3"
"Qara Qarayev";"Gara Garayev";40417519;49932970;"Qara Qarayev prospekti";" Çıxış 4"
"Qara Qarayev";"Gara Garayev";40418048;49932773;"Qara Qarayev prospekti";" Çıxış 5"
"Qara Qarayev";"Gara Garayev";40417962;49933199;"Qara Qarayev prospekti";" Çıxış 6"
"Neftçilər";"Neftchilar";40411849;49942465;"Qara Qarayev prospekti";" Çıxış 1"
"Neftçilər";"Neftchilar";40411564;49941833;"Qara Qarayev prospekti";" Çıxış 2"
"Neftçilər";"Neftchilar";40410543;49943487;"Qara Qarayev prospekti";" Çıxış 3"
"Neftçilər";"Neftchilar";40410051;49943848;"Qara Qarayev prospekti";" Çıxış 4"
"Neftçilər";"Neftchilar";40409739;49943170;"Qara Qarayev prospekti";" Çıxış 5"
"Neftçilər";"Neftchilar";40410267;49942772;"Qara Qarayev prospekti";" Çıxış 6"
"Xalqlar Dostluğu";"Khalglar Dostlughu";40398585;49952052;"Qara Qarayev prospekti";" Çıxış 1"
"Xalqlar Dostluğu";"Khalglar Dostlughu";40398356;49951620;"Qara Qarayev prospekti";" Çıxış 2"
"Xalqlar Dostluğu";"Khalglar Dostlughu";40396683;49952848;"Qara Qarayev prospekti";" Çıxış 3"
"Xalqlar Dostluğu";"Khalglar Dostlughu";40397126;49953076;"Qara Qarayev prospekti";" Çıxış 4"
"Əhmədli";"Akhmedli";40385988;49953697;"Məhəmməd Hadi küçəsi";" Çıxış 1"
"Əhmədli";"Akhmedli";40385957;49954227;"Məhəmməd Hadi küçəsi";" Çıxış 2"
"Əhmədli";"Akhmedli";40384344;49954252;"Məhəmməd Hadi küçəsi";" Çıxış 3"
"Əhmədli";"Akhmedli";40384330;49953734;"Məhəmməd Hadi küçəsi";" Çıxış 4"
"Həzi Aslanov";"Hazi Aslanov";40373863;49953849;"Məhəmməd Hadi küçəsi";" Çıxış 1"
"Həzi Aslanov";"Hazi Aslanov";40373950;49953447;"Məhəmməd Hadi küçəsi";" Çıxış 2"
"Həzi Aslanov";"Hazi Aslanov";40374094;49953456;"Məhəmməd Hadi küçəsi";" Çıxış 3"
"Həzi Aslanov";"Hazi Aslanov";40372033;49953748;"Məhəmməd Hadi küçəsi";" Çıxış 4"
"Həzi Aslanov";"Hazi Aslanov";40372109;49953110;"Məhəmməd Hadi küçəsi";" Çıxış 5"
"Sahil";"Sahil";40371751;49844644;"Bülbül prospekti";" Çıxış 1"
"İçərişəhər";"Icherisheher";40365899;49831529;"İstiqlaliyyət küçəsi";" Çıxış 1"
"Cəfər Cabbarlı";"Jafar Jabbarly";40379585;49848716;"Dilarə Əliyeva küçəsi";" Çıxış 1"
"Cəfər Cabbarlı";"Jafar Jabbarly";40379608;49849222;"Dilarə Əliyeva küçəsi";" Çıxış 2"
"Şah İsmayıl Xətai";"Shah Ismail Khatai";40383066;49871971;"Xocalı prospekti";" Çıxış 1"
"Bakmil";"Bakmil";40414152;49879007;"Ələsgər Qayıbov küçəsi";" Çıxış 1"
